number,symbol,name,mass,cpkHexColor,electronConfiguration,electronNegativity,radius,ionRadius,vanDelWaalsRadius,ionizationEnergy,electronAffinity,oxidationStates__001,oxidationStates__002,standardState,bondingType,meltingPoint,boilingPoint,density,family,yearDiscovered,oxidationStates__003,oxidationStates__004,oxidationStates__005,oxidationStates__006,oxidationStates__007,oxidationStates__008,oxidationStates__009,oxidationStates__010
38,Sr,Strontium,87.62,#00ff00,[Kr] 5s2,0.95,192,118,null,550,-5,2,,solid,metallic,1050,1655,2.63,alkaline earth metal,1790,,,,,,,,
39,Y,Yttrium,88.90585,#94ffff,[Kr] 4d1 5s2,1.22,162,90,null,600,-30,1,2,solid,metallic,1799,3618,4.47,transition metal,1794,3,,,,,,,
40,Zr,Zirconium,91.224,#94e0e0,[Kr] 4d2 5s2,1.33,148,72,null,640,-41,1,2,solid,metallic,2128,4682,6.51,transition metal,1789,3,4,,,,,,
41,Nb,Niobium,92.90638,#73c2c9,[Kr] 4d4 5s1,1.6,137,72,null,652,-86,-1,2,solid,metallic,2750,5017,8.57,transition metal,1801,3,4,5,,,,,
42,Mo,Molybdenum,95.96,#54b5b5,[Kr] 4d5 5s1,2.16,145,69,null,684,-72,-2,null,solid,metallic,2896,4912,10.28,transition metal,1778,1,2,3,4,5,6,,
43,Tc,Technetium,98,#3b9e9e,[Kr] 4d5 5s2,1.9,156,64.5,null,702,-53,-3,null,solid,metallic,2430,4538,11.5,transition metal,1937,1,2,3,4,5,6,7,
44,Ru,Ruthenium,101.07,#248f8f,[Kr] 4d7 5s1,2.2,126,68,null,710,-101,-2,1,solid,metallic,2607,4423,12.37,transition metal,1827,2,3,4,5,6,7,8,
45,Rh,Rhodium,102.9055,#0a7d8c,[Kr] 4d8 5s1,2.28,135,66.5,null,720,-110,-1,1,solid,metallic,2237,3968,12.45,transition metal,1803,2,3,4,5,6,,,
46,Pd,Palladium,106.42,#006985,[Kr] 4d10,2.2,131,59,163,804,-54,2,4,solid,metallic,1828,3236,12.02,transition metal,1803,,,,,,,,
47,Ag,Silver,107.8682,#c0c0c0,[Kr] 4d10 5s1,1.93,153,115,172,731,-126,1,2,solid,metallic,1235,2435,10.49,transition metal,null,3,,,,,,,
48,Cd,Cadmium,112.411,#ffd98f,[Kr] 4d10 5s2,1.69,148,95,158,868,0,2,,solid,metallic,594,1040,8.65,transition metal,1817,,,,,,,,
49,In,Indium,114.818,#a67573,[Kr] 4d10 5s2 5p1,1.78,144,80,193,558,-29,1,2,solid,metallic,430,2345,7.31,metal,1863,3,,,,,,,
50,Sn,Tin,118.71,#668080,[Kr] 4d10 5s2 5p2,1.96,141,112,217,709,-107,-4,2,solid,metallic,505,2875,7.31,metal,null,4,,,,,,,
